"old";"new"
"Đức Nghĩa";"Duc Nghia"
"Thiện Nghiệp";"Thien Nghiep"
"Phong Nẫm";"Phong Nam"
"Tiến Lợi";"Tien Loi"
"Phước Hội";"Phuoc Hoi"
"Liên Hương";"Lien Huong"
"Phan Rí Cửa";"Phan Ri Cua"
"Phan Dũng";"Phan Dung"
"Phước Thể";"Phuoc The"
"Chí Công";"Chi Cong"
"Chợ Lầu";"Cho Lau"
"Phan Lâm";"Phan Lam"
"Phan Điền";"Phan Dien"
"Phan Hiệp";"Phan Hiep"
"Phan Hòa";"Phan Hoa"
"Phan Rí Thành";"Phan Ri Thanh"
"Phan Sơn";"Phan Son"
"Sông Lũy";"Song Luy"
"Sông Bình";"Song Binh"
"Phan Tiến";"Phan Tien"
"Ma Lâm";"Ma Lam"
"Hồng Liêm";"Hong Liem"
"Hàm Trí";"Ham Tri"
"Hàm Phú";"Ham Phu"
"Hàm Đức";"Ham Duc"
"La Dạ";"La Da"
"Đa Mi";"Da Mi"
"Thuận Minh";"Thuan Minh"
"Hàm Chính";"Ham Chinh"
"Hàm Thắng";"Ham Thang"
"Hàm Liêm";"Ham Liem"
"Hàm Hiệp";"Ham Hiep"
"Thuận Nam";"Thuan Nam"
"Mỹ Thạnh";"My Thanh"
"Hàm Cần";"Ham Can"
"Mương Mán";"Muong Man"
"Hàm Mỹ";"Ham My"
"Hàm Thạnh";"Ham Thanh"
"Hàm Kiệm";"Ham Kiem"
"Hàm Cường";"Ham Cuong"
"Hàm Minh";"Ham Minh"
"Thuận Quí";"Thuan Qui"
"Tân Thuận";"Tan Thuan"
"Lạc Tánh";"Lac Tanh"
"Bắc Ruộng";"Bac Ruong"
"La Ngâu";"La Ngau"
"Đồng Kho";"Dong Kho"
"Đức Bình";"Duc Binh"
"Suối Kiết";"Suoi Kiet"
"Măng Tố";"Mang To"
"Huy Khiêm";"Huy Khiem"
"Nghị Đức";"Nghi Duc"
"Gia An";"Gia An"
"Gia Huynh";"Gia Huynh"
"Sông Phan";"Song Phan"
"Võ Xu";"Vo Xu"
"Đức Tài";"Duc Tai"
"Mê Pu";"Me Pu"
"Vũ Hoà";"Vu Hoa"
"Sùng Nhơn";"Sung Nhon"
"Đa Kai";"Da Kai"
"Đức Tín";"Duc Tin"
"Ngũ Phụng";"Ngu Phung"
"Long Hải";"Long Hai"
"Thắng Tam";"Thang Tam"
"Nguyễn An Ninh";"Nguyen An Ninh"
"Thắng Nhất";"Thang Nhat"
"Rạch Dừa";"Rach Dua"
"Phước Nguyên";"Phuoc Nguyen"
"Long Toàn";"Long Toan"
"Long Tâm";"Long Tam"
"Long Hương";"Long Huong"
"Kim Dinh";"Kim Dinh"
"Ngãi Giao";"Ngai Giao"
"Bình Ba";"Binh Ba"
"Suối Nghệ";"Suoi Nghe"
"Bình Giã";"Binh Gia"
"Xà Bang";"Xa Bang"
"Láng Lớn";"Lang Lon"
"Cù Bị";"Cu Bi"
"Bàu Chinh";"Bau Chinh"
"Suối Rao";"Suoi Rao"
"Đá Bạc";"Da Bac"
"Phước Bửu";"Phuoc Buu"
"Xuyên Mộc";"Xuyen Moc"
"Bông Trang";"Bong Trang"
"Bàu Lâm";"Bau Lam"
"Hòa Hưng";"Hoa Hung"
"Bưng Riềng";"Bung Rieng"
"Mỹ Xuân";"My Xuan"
"Sông Xoài";"Song Xoai"
"Hắc Dịch";"Hac Dich"
"Châu Pha";"Chau Pha"
"Tóc Tiên";"Toc Tien"
"Đất Đỏ";"Dat Do"
"Phước Long Thọ";"Phuoc Long Tho"
"Long Mỹ";"Long My"
"Láng Dài";"Lang Dai"
"Long Điền";"Long Dien"
"An Ngãi";"An Ngai"
"An Nhứt";"An Nhut"
"Phước Tỉnh";"Phuoc Tinh"
"Hướng Thọ Phú";"Huong Tho Phu"
"Lợi Bình Nhơn";"Loi Binh Nhon"
"Nhơn Thạnh Trung";"Nhon Thanh Trung"
"Bình Tâm";"Binh Tam"
"Khánh Hậu";"Khanh Hau"
"An Vĩnh Ngãi";"An Vinh Ngai"
"Vĩnh Đại";"Vinh Dai"
"Vĩnh Bửu";"Vinh Buu"
"Hưng Điền B";"Hung Dien B"
"Hưng Thạnh";"Hung Thanh"
"Vĩnh Châu A";"Vinh Chau A"
"Vĩnh Châu B";"Vinh Chau B"
"Thạnh Hưng";"Thanh Hung"
"Hưng Điền";"Hung Dien"
"Vĩnh Trị";"Vinh Tri"
"Hưng Điền A";"Hung Dien A"
"Thái Trị";"Thai Tri"
"Thái Bình Trung";"Thai Binh Trung"
"Tuyên Bình";"Tuyen Binh"
"Tuyên Bình Tây";"Tuyen Binh Tay"
"Vĩnh Bình";"Vinh Binh"
"Khánh Hưng";"Khanh Hung"
"Bình Hòa Tây";"Binh Hoa Tay"
"Bình Hòa Đông";"Binh Hoa Dong"
"Bình Phong Thạnh";"Binh Phong Thanh"
"Bình Hòa Trung";"Binh Hoa Trung"
"Kiến Bình";"Kien Binh"
"Bắc Hòa";"Bac Hoa"
"Hậu Thạnh Đông";"Hau Thanh Dong"
"Nhơn Hòa Lập";"Nhon Hoa Lap"
"Nhơn Ninh";"Nhon Ninh"
"Hậu Thạnh Tây";"Hau Thanh Tay"
"Nhơn Hoà";"Nhon Hoa"
"Thạnh Hóa";"Thanh Hoa"
"Thủy Đông";"Thuy Dong"
"Thủy Tây";"Thuy Tay"
"Tân Tây";"Tan Tay"
"Thuận Nghĩa Hòa";"Thuan Nghia Hoa"
"Thuận Bình";"Thuan Binh"
"Mỹ Thạnh Đông";"My Thanh Dong"
"Mỹ Quý Đông";"My Quy Dong"
"Mỹ Quý Tây";"My Quy Tay"
"Mỹ Thạnh Tây";"My Thanh Tay"
"Mỹ Thạnh Bắc";"My Thanh Bac"
"Bình Hòa Bắc";"Binh Hoa Bac"
"Bình Hòa Nam";"Binh Hoa Nam"
"Bình Hòa Hưng";"Binh Hoa Hung"
"Hậu Nghĩa";"Hau Nghia"
"Lộc Giang";"Loc Giang"
"Hòa Khánh Tây";"Hoa Khanh Tay"
"Hòa Khánh Đông";"Hoa Khanh Dong"
"Đức Lập Thượng";"Duc Lap Thuong"
"Đức Lập Hạ";"Duc Lap Ha"
"Hựu Thạnh";"Huu Thanh"
"Đức Hòa Thượng";"Duc Hoa Thuong"
"Đức Hòa Hạ";"Duc Hoa Ha"
"Mỹ Hạnh Bắc";"My Hanh Bac"
"Mỹ Hạnh Nam";"My Hanh Nam"
"Đức Hòa Đông";"Duc Hoa Dong"
"Bến Lức";"Ben Luc"
"Thạnh Lợi";"Thanh Loi"
"Thạnh Hòa";"Thanh Hoa"
"Bình Đức";"Binh Duc"
"Lương Bình";"Luong Binh"
"Lương Hòa";"Luong Hoa"
"Tân Bửu";"Tan Buu"
"Nhựt Chánh";"Nhut Chanh"
"Phước Lợi";"Phuoc Loi"
"Thủ Thừa";"Thu Thua"
"Long Thạnh";"Long Thanh"
"Mỹ Lạc";"My Lac"
"Mỹ Phú";"My Phu"
"Nhị Thành";"Nhi Thanh"
"Tầm Vu";"Tam Vu"
"Bình Quới";"Binh Quoi"
"Vĩnh Công";"Vinh Cong"
"Dương Xuân Hội";"Duong Xuan Hoi"
"Long Trì";"Long Tri"
"Phú Ngãi Trị";"Phu Ngai Tri"
"Phước Tân Hưng";"Phuoc Tan Hung"
"Thanh Phú Long";"Thanh Phu Long"
"An Lục Long";"An Luc Long"
"Thuận Mỹ";"Thuan My"
"Thanh Vĩnh Đông";"Thanh Vinh Dong"
"Tân Trụ";"Tan Tru"
"Bình Tịnh";"Binh Tinh"
"An Nhựt Tân";"An Nhut Tan"
"Quê Mỹ Thạnh";"Que My Thanh"
"Lạc Tấn";"Lac Tan"
"Bình Trinh Đông";"Binh Trinh Dong"
"Tân Phước Tây";"Tan Phuoc Tay"
"Nhựt Ninh";"Nhut Ninh"
"Cần Đước";"Can Duoc"
"Long Trạch";"Long Trach"
"Long Khê";"Long Khe"
"Long Định";"Long Dinh"
"Phước Vân";"Phuoc Van"
"Long Cang";"Long Cang"
"Phước Tuy";"Phuoc Tuy"
"Tân Ân";"Tan An"
"Tân Chánh";"Tan Chanh"
"Mỹ Lệ";"My Le"
"Tân Lân";"Tan Lan"
"Long Hựu Tây";"Long Huu Tay"
"Long Hựu Đông";"Long Huu Dong"
"Cần Giuộc";"Can Giuoc"
"Phước Lý";"Phuoc Ly"
"Long Thượng";"Long Thuong"
"Phước Lâm";"Phuoc Lam"
"Long Hậu";"Long Hau"
"Trường Bình";"Truong Binh"
"Phước Lại";"Phuoc Lai"
"Phước Vĩnh Tây";"Phuoc Vinh Tay"
"Long Phụng";"Long Phung"
"Phước Vĩnh Đông";"Phuoc Vinh Dong"
"Tân Tập";"Tan Tap"
"Thạnh Trị";"Thanh Tri"
"Tuyên Thạnh";"Tuyen Thanh"
"Mỹ Ngãi";"My Ngai"
"Mỹ Trà";"My Tra"
"Tịnh Thới";"Tinh Thoi"
"Tân Khánh Đông";"Tan Khanh Dong"
"Tân Phú Đông";"Tan Phu Dong"
"Tân Quy Đông";"Tan Quy Dong"
"Tân Quy Tây";"Tan Quy Tay"
"Sa Rài";"Sa Rai"
"Tân Hộ Cơ";"Tan Ho Co"
"Thông Bình";"Thong Binh"
"Tân Thành A";"Tan Thanh A"
"Tân Thành B";"Tan Thanh B"
"Tân Công Chí";"Tan Cong Chi"
"Long Khánh A";"Long Khanh A"
"Long Khánh B";"Long Khanh B"
"Phú Thuận A";"Phu Thuan A"
"Phú Thuận B";"Phu Thuan B"
"Thường Phước 1";"Thuong Phuoc 1"
"Thường Phước 2";"Thuong Phuoc 2"
"Thường Thới Tiền";"Thuong Thoi Tien"
"Thường Lạc";"Thuong Lac"
"Thường Thới Hậu A";"Thuong Thoi Hau A"
"Thường Thới Hậu B";"Thuong Thoi Hau B"
"An Bình B";"An Binh B"
"An Bình A";"An Binh A"
"Tràm Chim";"Tram Chim"
"Phú Ninh";"Phu Ninh"
"Phú Thành A";"Phu Thanh A"
"Phú Thành B";"Phu Thanh B"
"Tân Công Sính";"Tan Cong Sinh"
"Bình Tấn";"Binh Tan"
"An Phong";"An Phong"
"Tân Quới";"Tan Quoi"
"Tân Huề";"Tan Hue"
"Tân Kiều";"Tan Kieu"
"Đốc Binh Kiều";"Doc Binh Kieu"
"Mỹ Quý";"My Quy"
"Láng Biển";"Lang Bien"
"Phương Trà";"Phuong Tra"
"Nhị Mỹ";"Nhi My"
"Mỹ Hội";"My Hoi"
"Mỹ Xương";"My Xuong"
"Bình Hàng Trung";"Binh Hang Trung"
"Bình Hàng Tây";"Binh Hang Tay"
"Mỹ Long";"My Long"
"Tân Hội Trung";"Tan Hoi Trung"
"Gáo Giồng";"Gao Giong"
"Lấp Vò";"Lap Vo"
"Định Yên";"Dinh Yen"
"Long Hưng A";"Long Hung A"
"Long Hưng B";"Long Hung B"
"Tân Khánh Trung";"Tan Khanh Trung"
"Mỹ An Hưng A";"My An Hung A"
"Mỹ An Hưng B";"My An Hung B"
"Hội An Đông";"Hoi An Dong"
"Bình Thạnh Trung";"Binh Thanh Trung"
"Lai Vung";"Lai Vung"
"Long Thắng";"Long Thang"
"Vĩnh Thới";"Vinh Thoi"
"Cái Tàu Hạ";"Cai Tau Ha"
"Tân Nhuận Đông";"Tan Nhuan Dong"
"Phú Hựu";"Phu Huu"
"An Phú Thuận";"An Phu Thuan"
"Mỹ Xuyên";"My Xuyen"
"Mỹ Thới";"My Thoi"
"Mỹ Khánh";"My Khanh"
"Mỹ Hoà Hưng";"My Hoa Hung"
"Châu Phú B";"Chau Phu B"
"Châu Phú A";"Chau Phu A"
"Núi Sam";"Nui Sam"
"Vĩnh Ngươn";"Vinh Nguon"
"Vĩnh Mỹ";"Vinh My"
"Vĩnh Tế";"Vinh Te"
"Vĩnh Châu";"Vinh Chau"
"Quốc Thái";"Quoc Thai"
"Vĩnh Hậu";"Vinh Hau"
"Vĩnh Hội Đông";"Vinh Hoi Dong"
"Vĩnh Xương";"Vinh Xuong"
"Long Phú";"Long Phu"
"Phú Vĩnh";"Phu Vinh"
"Lê Chánh";"Le Chanh"
"Chợ Vàm";"Cho Vam"
"Hoà Lạc";"Hoa Lac"
"Hiệp Xương";"Hiep Xuong"
"Phú Hưng";"Phu Hung"
"Bình Thạnh Đông";"Binh Thanh Dong"
"Cái Dầu";"Cai Dau"
"Ô Long Vỹ";"O Long Vy"
"Vĩnh Thạnh Trung";"Vinh Thanh Trung"
"Thạnh Mỹ Tây";"Thanh My Tay"
"Bình Thủy";"Binh Thuy"
"Đào Hữu Cảnh";"Dao Huu Canh"
"Nhà Bàng";"Nha Bang"
"Tịnh Biên";"Tinh Bien"
"Núi Voi";"Nui Voi"
"Thới Sơn";"Thoi Son"
"Văn Giáo";"Van Giao"
"An Hảo";"An Hao"
"Tri Tôn";"Tri Ton"
"Lạc Quới";"Lac Quoi"
"Lê Trì";"Le Tri"
"Vĩnh Gia";"Vinh Gia"
"Ba Chúc";"Ba Chuc"
"Châu Lăng";"Chau Lang"
"Lương Phi";"Luong Phi"
"Lương An Trà";"Luong An Tra"
"Tà Đảnh";"Ta Danh"
"Núi Tô";"Nui To"
"An Tức";"An Tuc"
"Tân Tuyến";"Tan Tuyen"
"Ô Lâm";"O Lam"
"Kiến An";"Kien An"
"Mỹ Hội Đông";"My Hoi Dong"
"Long Điền A";"Long Dien A"
"Tấn Mỹ";"Tan My"
"Long Điền B";"Long Dien B"
"Mỹ Luông";"My Luong"
"Long Kiến";"Long Kien"
"Bình Phước Xuân";"Binh Phuoc Xuan"
"An Thạnh Trung";"An Thanh Trung"
"Hội An";"Hoi An"
"Cần Đăng";"Can Dang"
"Vĩnh Hanh";"Vinh Hanh"
"Hòa Bình Thạnh";"Hoa Binh Thanh"
"Vĩnh Nhuận";"Vinh Nhuan"
"Núi Sập";"Nui Sap"
"Vĩnh Trạch";"Vinh Trach"
"Óc Eo";"Oc Eo"
"Vĩnh Chánh";"Vinh Chanh"
"Định Mỹ";"Dinh My"
"Mỹ Phú Đông";"My Phu Dong"
"Vọng Đông";"Vong Dong"
"Vĩnh Khánh";"Vinh Khanh"
"Thoại Giang";"Thoai Giang"
"Vọng Thê";"Vong The"
"Đạo Thạnh";"Dao Thanh"
"Tân Mỹ Chánh";"Tan My Chanh"
"Long Chánh";"Long Chanh"
"Bình Xuân";"Binh Xuan"
"Tân Hòa Đông";"Tan Hoa Dong"
"Thạnh Hoà";"Thanh Hoa"
"Tân Hòa Thành";"Tan Hoa Thanh"
"Tân Lập 1";"Tan Lap 1"
"Tân Hòa Tây";"Tan Hoa Tay"
"Tân Lập 2";"Tan Lap 2"
"Phước Lập";"Phuoc Lap"
"Tân Hội Đông";"Tan Hoi Dong"
"Tân Lý Đông";"Tan Ly Dong"
"Tân Lý Tây";"Tan Ly Tay"
"Thân Cửu Nghĩa";"Than Cuu Nghia"
"Điềm Hy";"Diem Hy"
"Dưỡng Điềm";"Duong Diem"
"Hữu Đạo";"Huu Dao"
"Bình Trưng";"Binh Trung"
"Bàn Long";"Ban Long"
"Song Thuận";"Song Thuan"
"Mỹ Phước Tây";"My Phuoc Tay"
"Mỹ Hạnh Đông";"My Hanh Dong"
"Mỹ Hạnh Trung";"My Hanh Trung"
"Nhị Quý";"Nhi Quy"
"Phú Quý";"Phu Quy"
"Chợ Gạo";"Cho Gao"
"Hòa Tịnh";"Hoa Tinh"
"Mỹ Tịnh An";"My Tinh An"
"Tân Bình Thạnh";"Tan Binh Thanh"
"Phú Kiết";"Phu Kiet"
"Lương Hòa Lạc";"Luong Hoa Lac"
"Quơn Long";"Quon Long"
"Bình Phục Nhứt";"Binh Phuc Nhut"
"Đăng Hưng Phước";"Dang Hung Phuoc"
"Tân Thuận Bình";"Tan Thuan Binh"
"Song Bình";"Song Binh"
"Bình Phan";"Binh Phan"
"Long Bình Điền";"Long Binh Dien"
"An Thạnh Thủy";"An Thanh Thuy"
"Hòa Định";"Hoa Dinh"
"Bình Ninh";"Binh Ninh"
"Cái Bè";"Cai Be"
"Hậu Mỹ Bắc B";"Hau My Bac B"
"Hậu Mỹ Bắc A";"Hau My Bac A"
"Hậu Mỹ Trinh";"Hau My Trinh"
"Hậu Mỹ Phú";"Hau My Phu"
"Mỹ Lợi B";"My Loi B"
"Thiện Trung";"Thien Trung"
"Mỹ Lợi A";"My Loi A"
"Thiện Trí";"Thien Tri"
"Mỹ Đức Đông";"My Duc Dong"
"Mỹ Đức Tây";"My Duc Tay"
"Đông Hòa Hiệp";"Dong Hoa Hiep"
"An Thái Đông";"An Thai Dong"
"An Thái Trung";"An Thai Trung"
"An Hữu";"An Huu"
"Đồng Thạnh";"Dong Thanh"
"Bình Nhì";"Binh Nhi"
"Yên Luông";"Yen Luong"
"Thạnh Nhựt";"Thanh Nhut"
"Vĩnh Hựu";"Vinh Huu"
"Tăng Hoà";"Tang Hoa"
"Gia Thuận";"Gia Thuan"
"Vàm Láng";"Vam Lang"
"Kiểng Phước";"Kieng Phuoc"
"Bình Ân";"Binh An"
"Tân Điền";"Tan Dien"
"Bình Nghị";"Binh Nghi"
"Tân Thới";"Tan Thoi"
"Mỹ Thành Bắc";"My Thanh Bac"
"Mỹ Thành Nam";"My Thanh Nam"
"Long Tiên";"Long Tien"
"Hiệp Đức";"Hiep Duc"
"Long Trung";"Long Trung"
"Hội Xuân";"Hoi Xuan"
"Tân Ngãi";"Tan Ngai"
"Long Hồ";"Long Ho"
"Bình Hòa Phước";"Binh Hoa Phuoc"
"Thạnh Quới";"Thanh Quoi"
"Phú Quới";"Phu Quoi"
"Cái Nhum";"Cai Nhum"
"Chánh Hội";"Chanh Hoi"
"Chánh An";"Chanh An"
"Tân Long Hội";"Tan Long Hoi"
"Cái Vồn";"Cai Von"
"Đông Bình";"Dong Binh"
"Đông Thuận";"Dong Thuan"
"Thành Phước";"Thanh Phuoc"
"Nguyễn Văn Thảnh";"Nguyen Van Thanh"
"Thành Trung";"Thanh Trung"
"Thành Đông";"Thanh Dong"
"Tân Lược";"Tan Luoc"
"Tân An Thạnh";"Tan An Thanh"
"Hoà Lộc";"Hoa Loc"
"Song Phú";"Song Phu"
"Mỹ Thạnh Trung";"My Thanh Trung"
"Tường Lộc";"Tuong Loc"
"Loan Mỹ";"Loan My"
"Ngãi Tứ";"Ngai Tu"
"Trà Ôn";"Tra On"
"Hựu Thành";"Huu Thanh"
"Thuận Thới";"Thuan Thoi"
"Trà Côn";"Tra Con"
"Vĩnh Xuân";"Vinh Xuan"
"Thiện Mỹ";"Thien My"
"Tích Thiện";"Tich Thien"
"Lục Sĩ Thành";"Luc Si Thanh"
"Vũng Liêm";"Vung Liem"
"Tân Quới Trung";"Tan Quoi Trung"
"Quới An";"Quoi An"
"Quới Thiện";"Quoi Thien"
"Trung Hiệp";"Trung Hiep"
"Trung Thành Tây";"Trung Thanh Tay"
"Tân An Luông";"Tan An Luong"
"Hiếu Phụng";"Hieu Phung"
"Trung Thành Đông";"Trung Thanh Dong"
"Trung Hiếu";"Trung Hieu"
"Trung Ngãi";"Trung Ngai"
"Hiếu Thuận";"Hieu Thuan"
"Hiếu Nhơn";"Hieu Nhon"
"Hiếu Thành";"Hieu Thanh"
"Hiếu Nghĩa";"Hieu Nghia"
"Phú Khương";"Phu Khuong"
"Nhơn Thạnh";"Nhon Thanh"
"Mỹ Thạnh An";"My Thanh An"
"Mỏ Cày";"Mo Cay"
"Định Thủy";"Dinh Thuy"
"Bình Khánh Tây";"Binh Khanh Tay"
"Bình Khánh Đông";"Binh Khanh Dong"
"Đa Phước Hội";"Da Phuoc Hoi"
"Thành Thới B";"Thanh Thoi B"
"Thành Thới A";"Thanh Thoi A"
"An Thới";"An Thoi"
"Ngãi Đăng";"Ngai Dang"
"Hương Mỹ";"Huong My"
"Tân Thạch";"Tan Thach"
"Tiên Long";"Tien Long"
"Tiên Thủy";"Tien Thuy"
"Quới Thành";"Quoi Thanh"
"Thành Triệu";"Thanh Trieu"
"Tường Đa";"Tuong Da"
"Phú An Hòa";"Phu An Hoa"
"Hữu Định";"Huu Dinh"
"Qưới Sơn";"Quoi Son"
"Giao Hòa";"Giao Hoa"
"An Hóa";"An Hoa"
"Chợ Lách";"Cho Lach"
"Phú Phụng";"Phu Phung"
"Tân Thiềng";"Tan Thieng"
"Hưng Khánh Trung B";"Hung Khanh Trung B"
"Thạnh Ngãi";"Thanh Ngai"
"Phước Mỹ Trung";"Phuoc My Trung"
"Tân Phú Tây";"Tan Phu Tay"
"Tân Thành Bình";"Tan Thanh Binh"
"Tân Thanh Tây";"Tan Thanh Tay"
"Nhuận Phú Tân";"Nhuan Phu Tan"
"Hưng Khánh Trung A";"Hung Khanh Trung A"
"Khánh Thạnh Tân";"Khanh Thanh Tan"
"Giồng Trôm";"Giong Trom"
"Thuận Điền";"Thuan Dien"
"Hưng Phong";"Hung Phong"
"Lương Quới";"Luong Quoi"
"Châu Hòa";"Chau Hoa"
"Bình Hoà";"Binh Hoa"
"Tân Hào";"Tan Hao"
"Tân Lợi Thạnh";"Tan Loi Thanh"
"Thạnh Phú Đông";"Thanh Phu Dong"
"Hưng Lễ";"Hung Le"
"Hưng Nhượng";"Hung Nhuong"
"Bình Đại";"Binh Dai"
"Châu Hưng";"Chau Hung"
"Vang Quới Tây";"Vang Quoi Tay"
"Vang Quới Đông";"Vang Quoi Dong"
"Thới Lai";"Thoi Lai"
"Phú Vang";"Phu Vang"
"Đại Hòa Lộc";"Dai Hoa Loc"
"Thới Thuận";"Thoi Thuan"
"Ba Tri";"Ba Tri"
"Mỹ Nhơn";"My Nhon"
"An Phú Trung";"An Phu Trung"
"An Ngãi Trung";"An Ngai Trung"
"An Ngãi Tây";"An Ngai Tay"
"An Bình Tây";"An Binh Tay"
"Phú Lễ";"Phu Le"
"Phú Ngãi";"Phu Ngai"
"Bảo Thạnh";"Bao Thanh"
"An Hòa Tây";"An Hoa Tay"
"Đại Điền";"Dai Dien"
"Thới Thạnh";"Thoi Thanh"
"Quới Điền";"Quoi Dien"
"An Thuận";"An Thuan"
"An Quy";"An Quy"
"Giao Thạnh";"Giao Thanh"
"Thạnh Hải";"Thanh Hai"
"Thạnh Phong";"Thanh Phong"
"Vĩnh Thanh Vân";"Vinh Thanh Van"
"Rạch Sỏi";"Rach Soi"
"Vĩnh Thông";"Vinh Thong"
"Phi Thông";"Phi Thong"
"Tô Châu";"To Chau"
"Đông Hồ";"Dong Ho"
"Bình San";"Binh San"
"Pháo Đài";"Phao Dai"
"Thuận Yên";"Thuan Yen"
"Kiên Lương";"Kien Luong"
"Kiên Bình";"Kien Binh"
"Hòa Điền";"Hoa Dien"
"Hòn Nghệ";"Hon Nghe"
"Hòn Đất";"Hon Dat"
"Nam Thái Sơn";"Nam Thai Son"
"Mỹ Hiệp Sơn";"My Hiep Son"
"Sơn Kiên";"Son Kien"
"Thổ Sơn";"Tho Son"
"Lình Huỳnh";"Linh Huynh"
"Tân Hiệp B";"Tan Hiep B"
"Thạnh Đông B";"Thanh Dong B"
"Tân Hiệp A";"Tan Hiep A"
"Thạnh Đông A";"Thanh Dong A"
"Mong Thọ A";"Mong Tho A"
"Mong Thọ B";"Mong Tho B"
"Mong Thọ";"Mong Tho"
"Giục Tượng";"Giuc Tuong"
"Vĩnh Hòa Hiệp";"Vinh Hoa Hiep"
"Vĩnh Hòa Phú";"Vinh Hoa Phu"
"Giồng Riềng";"Giong Rieng"
"Bàn Thạch";"Ban Thach"
"Bàn Tân Định";"Ban Tan Dinh"
"Ngọc Thành";"Ngoc Thanh"
"Ngọc Chúc";"Ngoc Chuc"
"Ngọc Thuận";"Ngoc Thuan"
"Hoà Lợi";"Hoa Loi"
"Hoà An";"Hoa An"
"Gò Quao";"Go Quao"
"Vĩnh Hòa Hưng Bắc";"Vinh Hoa Hung Bac"
"Thới Quản";"Thoi Quan"
"Thủy Liễu";"Thuy Lieu"
"Vĩnh Hòa Hưng Nam";"Vinh Hoa Hung Nam"
"Vĩnh Phước A";"Vinh Phuoc A"
"Vĩnh Phước B";"Vinh Phuoc B"
"Vĩnh Thắng";"Vinh Thang"
"Thứ Ba";"Thu Ba"
"Tây Yên";"Tay Yen"
"Tây Yên A";"Tay Yen A"
"Nam Yên";"Nam Yen"
"Hưng Yên";"Hung Yen"
"Nam Thái A";"Nam Thai A"
"Đông Thái";"Dong Thai"
"Thứ Mười Một";"Thu Muoi Mot"
"Đông Hưng A";"Dong Hung A"
"Đông Hưng B";"Dong Hung B"
"Vân Khánh";"Van Khanh"
"Vân Khánh Đông";"Van Khanh Dong"
"Vân Khánh Tây";"Van Khanh Tay"
"Vĩnh Bình Bắc";"Vinh Binh Bac"
"Vĩnh Bình Nam";"Vinh Binh Nam"
"Phong Đông";"Phong Dong"
"Dương Đông";"Duong Dong"
"Cửa Cạn";"Cua Can"
"Gành Dầu";"Ganh Dau"
"Cửa Dương";"Cua Duong"
"Dương Tơ";"Duong To"
"Hòn Thơm";"Hon Thom"
"Bãi Thơm";"Bai Thom"
"Thổ Châu";"Tho Chau"
"Hòn Tre";"Hon Tre"
"Lại Sơn";"Lai Son"
"Nam Du";"Nam Du"
"Thạnh Yên";"Thanh Yen"
"An Minh Bắc";"An Minh Bac"
"Thạnh Yên A";"Thanh Yen A"
"Hoà Chánh";"Hoa Chanh"
"Vĩnh Điều";"Vinh Dieu"
"Tân Khánh Hòa";"Tan Khanh Hoa"
"Cái Khế";"Cai Khe"
"Thới Bình";"Thoi Binh"
"An Hội";"An Hoi"
"Châu Văn Liêm";"Chau Van Liem"
"Thới Long";"Thoi Long"
"Phước Thới";"Phuoc Thoi"
"Trường Lạc";"Truong Lac"
"Trà Nóc";"Tra Noc"
"Trà An";"Tra An"
"Bùi Hữu Nghĩa";"Bui Huu Nghia"
"Thới An Đông";"Thoi An Dong"
"Long Tuyền";"Long Tuyen"
"Lê Bình";"Le Binh"
"Ba Láng";"Ba Lang"
"Thường Thạnh";"Thuong Thanh"
"Thốt Nốt";"Thot Not"
"Trung Nhứt";"Trung Nhut"
"Thuận Hưng";"Thuan Hung"
"Thạnh Thắng";"Thanh Thang"
"Vĩnh Trinh";"Vinh Trinh"
"Thạnh Tiến";"Thanh Tien"
"Cờ Đỏ";"Co Do"
"Thới Xuân";"Thoi Xuan"
"Thới Hưng";"Thoi Hung"
"Thới Đông";"Thoi Dong"
"Trung Thạnh";"Trung Thanh"
"Đông Thắng";"Dong Thang"
"Đông Hiệp";"Dong Hiep"
"Thới Tân";"Thoi Tan"
"Định Môn";"Dinh Mon"
"Trường Thắng";"Truong Thang"
"Trường Xuân B";"Truong Xuan B"
"Trường Xuân A";"Truong Xuan A"
"Nhơn Ái";"Nhon Ai"
"Trường Long";"Truong Long"
"Nhơn Nghĩa";"Nhon Nghia"
"I";"I"
"III";"III"
"IV";"IV"
"V";"V"
"VII";"VII"
"Vị Tân";"Vi Tan"
"Hỏa Lựu";"Hoa Luu"
"Hỏa Tiến";"Hoa Tien"
"Ngã Bảy";"Nga Bay"
"Hiệp Lợi";"Hiep Loi"
"Lái Hiếu";"Lai Hieu"
"Bảy Ngàn";"Bay Ngan"
"Trường Long Tây";"Truong Long Tay"
"Trường Long A";"Truong Long A"
"Một Ngàn";"Mot Ngan"
"Nhơn Nghĩa A";"Nhon Nghia A"
"Tân Phú Thạnh";"Tan Phu Thanh"
"Cái Tắc";"Cai Tac"
"Rạch Gòi";"Rach Goi"
"Ngã Sáu";"Nga Sau"
"Mái Dầm";"Mai Dam"
"Đông Phước";"Dong Phuoc"
"Đông Phước A";"Dong Phuoc A"
"Kinh Cùng";"Kinh Cung"
"Cây Dương";"Cay Duong"
"Phụng Hiệp";"Phung Hiep"
"Hòa Mỹ";"Hoa My"
"Phương Bình";"Phuong Binh"
"Hiệp Hưng";"Hiep Hung"
